BTEXT103,BTEXT180,BTEXT181,BTEXT104,Asterisk,BTEXT105,BTEXT106,BTEXT107,BTEXT108,BTEXT109,BTEXT145,BTEXT110,BTEXT111,BTEXT112,BTEXT113,BTEXT114,BTEXT188,BTEXT115,BTEXT116,BTEXT184,BTEXT117,BTEXT163,BTEXT165,BTEXT118,BTEXT164,BTEXT166,BTEXT120,BTEXT121,BTEXT123,BTEXT126,BTEXT127,BTEXT128,BTEXT129,REPDATE_GROUPING,GROUP1,REPDT_FMT,DT_AVAILABLE_ROOMS,DT_AVAILABLE_ROOMS_STS,DT_OUT_OF_ORDER,DT_OUT_OF_ORDER_STS,DT_ROOMS_SOLD,DT_ROOMS_SOLD_STS,DT_ROOMS_TO_SELL,DT_ROOMS_TO_SELL_STS,DT_OCCUPANCY,DT_ARRIVALS_RMS,DT_ARRIVALS_RMS_STS,DT_ARRIVALS_RMS_NGTD,DT_ARRIVALS_RMS_NGTD_STS,DT_ARRIVALS_RES,DT_STAYOVERS_RMS,DT_STAYOVERS_RMS_STS,DT_DEPARTURES_RMS,DT_DEPARTURES_RMS_STS,DT_DEPARTURES_RES,DT_COMPLIMENTARY_RMS,DT_COMPLIMENTARY_RMS_STS,DT_HOUSEUSE,DT_HOUSEUSE_STS,DT_NOSHOW_RMS,DT_NOSHOW_RMS_STS,DT_DAYUSE_RMS,DT_DAYUSE_RMS_STS,DT_WAITLIST_RMS,DT_WAITLIST_RMS_STS,DT_TRANSIENT_RMS,DT_TRANSIENT_RMS_STS,DT_TRANS_REVENUE,DT_TRANS_ADR,DT_GRP_PICKUP_RMS,DT_GRP_PICKUP_RMS_STS,DT_GRP_REVENUE,DT_GRP_ADR,DT_GRP_REMAINING_RMS,DT_GRP_REMAINING_RMS_STS,DT_CNT_PICKUP_RMS,DT_CNT_PICKUP_RMS_STS,DT_CNT_REMAINING_RMS,DT_CNT_REMAINING_RMS_STS,DT_REVENUE,DT_ADR,DT_RREVPAR,DT_GUESTS,UNITTYPE,BTEXT150,CODE,CODE_DESC,AVAILABLE_ROOMS,OUT_OF_ORDER,ROOMS_SOLD,ROOMS_TO_SELL,OCCUPANCY,ARRIVALS_RMS,ARRIVALS_RMS_NGTD,ARRIVALS_RES,STAYOVERS_RMS,DEPARTURES_RMS,DEPARTURES_RES,COMPLIMENTARY_RMS,HOUSEUSE,NOSHOW_RMS,DAYUSE_RMS,WAITLIST_RMS,TRANSIENT_RMS,TRANS_REVENUE,TRANS_ADR,GRP_PICKUP_RMS,GROUP_REVENUE,GROUP_ADR,GRP_REMAINING_RMS,CNT_PICKUP_RMS,CNT_REMAINING_RMS,REVENUE,ADR,RREVPAR,GUESTS,GRP1_AVAILABLE_ROOMS,GRP1_AVAILABLE_ROOMS_STS,GRP1_OUT_OF_ORDER,GRP1_OUT_OF_ORDER_STS,GRP1_ROOMS_SOLD,GRP1_ROOMS_SOLD_STS,GRP1_ROOMS_TO_SELL,GRP1_ROOMS_TO_SELL_STS,GRP1_OCCUPANCY,GRP1_ARRIVALS_RMS,GRP1_ARRIVALS_RMS_STS,GRP1_ARRIVALS_RMS_NGTD,GRP1_ARRIVALS_RMS_NGTD_STS,GRP1_ARRIVALS_RES,GRP1_STAYOVERS_RMS,GRP1_STAYOVERS_RMS_STS,GRP1_DEPARTURES_RMS,GRP1_DEPARTURES_RMS_STS,GRP1_DEPARTURES_RES,GRP1_COMPLIMENTARY_RMS,GRP1_COMPLIMENTARY_RMS_STS,GRP1_HOUSEUSE,GRP1_HOUSEUSE_STS,GRP1_NOSHOW_RMS,GRP1_NOSHOW_RMS_STS,GRP1_DAYUSE_RMS,GRP1_DAYUSE_RMS_STS,GRP1_WAITLIST_RMS,GRP1_WAITLIST_RMS_STS,GRP1_TRANSIENT_RMS,GRP1_TRANSIENT_RMS_STS,GRP1_TRANS_REVENUE,GRP1_TRANS_ADR,GRP1_GRP_PICKUP_RMS,GRP1_GRP_PICKUP_RMS_STS,GRP1_GRP_REVENUE,GRP1_GRP_ADR,GRP1_GRP_REMAINING_RMS,GRP1_GRP_REMAINING_RMS_STS,GRP1_CNT_PICKUP_RMS,GRP1_CNT_PICKUP_RMS_STS,GRP1_CNT_REMAINING_RMS,GRP1_CNT_REMAINING_RMS_STS,GRP1_REVENUE,GRP1_ADR,GRP1_RREVPAR,GRP1_GUESTS,TOT_AVAILABLE_ROOMS,TOT_AVAILABLE_ROOMS_STS,TOT_OUT_OF_ORDER,TOT_OUT_OF_ORDER_STS,TOT_ROOMS_SOLD,TOT_ROOMS_SOLD_STS,TOT_ROOMS_TO_SELL,TOT_ROOMS_TO_SELL_STS,TOT_OCCUPANCY,TOT_ARRIVALS_RMS,TOT_ARRIVALS_RMS_STS,TOT_ARRIVALS_RMS_NGTD,TOT_ARRIVALS_RMS_NGTD_STS,TOT_ARRIVALS_RES,TOT_STAYOVERS_RMS,TOT_STAYOVERS_RMS_STS,TOT_DEPARTURES_RMS,TOT_DEPARTURES_RMS_STS,TOT_DEPARTURES_RES,TOT_COMPLIMENTARY_RMS,TOT_COMPLIMENTARY_RMS_STS,TOT_HOUSEUSE,TOT_HOUSEUSE_STS,TOT_NOSHOW_RMS,TOT_NOSHOW_RMS_STS,TOT_DAYUSE_RMS,TOT_DAYUSE_RMS_STS,TOT_WAITLIST_RMS,TOT_WAITLIST_RMS_STS,TOT_TRANSIENT_RMS,TOT_TRANSIENT_RMS_STS,TOT_TRANS_REVENUE,TOT_TRANS_ADR,TOT_GRP_PICKUP_RMS,TOT_GRP_PICKUP_RMS_STS,TOT_GRP_REVENUE,TOT_GRP_ADR,TOT_GRP_REMAINING_RMS,TOT_GRP_REMAINING_RMS_STS,TOT_CNT_PICKUP_RMS,TOT_CNT_PICKUP_RMS_STS,TOT_CNT_REMAINING_RMS,TOT_CNT_REMAINING_RMS_STS,TOT_REVENUE,TOT_ADR,TOT_RREVPAR,TOT_GUESTS,PARAMS_FMT
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-24 00:00:00,History,04/24/2023 Mon,150,0,7,0,96,0,47,0,64,78,0,32,0,78,18,0,72,0,72,1,0,0,0,2,0,0,0,0,0,65,0,8793.37,135.282615,31,0,4092,132,0,0,0,0,0,0,12885.37,134.222604,85.902467,151 / 1,ROOM,Suites,***,***,,,96,,64,78,32,78,18,72,72,1,0,2,0,0,65,8793.37,135.282615,31,4092,132,0,0,0,12885.37,134.222604,85.902467,151 / 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-25 00:00:00,History,04/25/2023 Tue,150,0,3,0,146,0,1,0,97.333333,93,0,10,0,91,53,0,43,0,42,1,0,0,0,0,0,0,0,0,0,97,0,15035.8,155.008247,49,0,6284,128.244898,0,0,0,0,0,0,21319.8,146.026027,142.132,214 / 4,ROOM,Suites,***,***,,,146,,97.333333,93,10,91,53,43,42,1,0,0,0,0,97,15035.8,155.008247,49,6284,128.244898,0,0,0,21319.8,146.026027,142.132,214 / 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-26 00:00:00,History,04/26/2023 Wed,150,0,2,0,129,0,19,0,86,49,0,3,0,49,80,0,66,0,65,1,0,0,0,1,0,0,0,0,0,87,0,12201.92,140.251954,42,0,5544,132,0,0,0,0,0,0,17745.92,137.565271,118.306133,198 / 2,ROOM,Suites,***,***,,,129,,86,49,3,49,80,66,65,1,0,1,0,0,87,12201.92,140.251954,42,5544,132,0,0,0,17745.92,137.565271,118.306133,198 / 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-27 00:00:00,History,04/27/2023 Thu,150,0,7,0,129,0,14,0,86,67,0,6,0,66,62,0,67,0,66,0,0,0,0,0,0,1,0,0,0,81,0,14146.03,174.642346,48,0,6383,132.979167,0,0,0,0,0,0,20529.03,159.139767,136.8602,198 / 5,ROOM,Suites,***,***,,,129,,86,67,6,66,62,67,66,0,0,0,1,0,81,14146.03,174.642346,48,6383,132.979167,0,0,0,20529.03,159.139767,136.8602,198 / 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-28 00:00:00,History,04/28/2023 Fri,150,0,1,0,135,0,14,0,90,60,0,2,0,60,75,0,54,0,54,0,0,0,0,1,0,0,0,0,0,74,0,19708.28,266.328108,61,0,16959,278.016393,0,0,0,0,0,0,36667.28,271.609481,244.448533,234 / 5,ROOM,Suites,***,***,,,135,,90,60,2,60,75,54,54,0,0,1,0,0,74,19708.28,266.328108,61,16959,278.016393,0,0,0,36667.28,271.609481,244.448533,234 / 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-29 00:00:00,History,04/29/2023 Sat,150,0,2,0,135,0,13,0,90,40,0,3,0,39,95,0,40,0,39,0,0,0,0,1,0,0,0,0,0,73,0,20411.91,279.615205,62,0,16758,270.290323,0,0,0,0,0,0,37169.91,275.332667,247.7994,227 / 3,ROOM,Suites,***,***,,,135,,90,40,3,39,95,40,39,0,0,1,0,0,73,20411.91,279.615205,62,16758,270.290323,0,0,0,37169.91,275.332667,247.7994,227 / 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-30 00:00:00,History,04/30/2023 Sun,150,0,25,0,75,0,50,0,50,46,0,0,0,46,29,0,106,0,105,0,0,0,0,1,0,1,0,0,0,60,0,8228.91,137.1485,15,0,1981,132.066667,0,0,0,0,0,0,10209.91,136.132133,68.066067,121 / 1,ROOM,Suites,***,***,,,75,,50,46,0,46,29,106,105,0,0,1,1,0,60,8228.91,137.1485,15,1981,132.066667,0,0,0,10209.91,136.132133,68.066067,121 / 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-01 00:00:00,History,05/01/2023 Mon,150,0,4,0,57,0,89,0,38,39,0,0,0,39,18,0,57,0,57,0,0,0,0,1,0,0,0,0,0,57,0,10936.69,191.871754,0,0,0,0,0,0,0,0,0,0,10936.69,191.871754,72.911267,82 / 0,ROOM,Suites,***,***,,,57,,38,39,0,39,18,57,57,0,0,1,0,0,57,10936.69,191.871754,0,0,0,0,0,0,10936.69,191.871754,72.911267,82 / 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-02 00:00:00,History,05/02/2023 Tue,150,0,4,0,79,0,67,0,52.666667,53,0,0,0,53,26,0,31,0,31,0,0,0,0,0,0,0,0,0,0,79,0,15538.12,196.685063,0,0,0,0,0,0,0,0,0,0,15538.12,196.685063,103.587467,111 / 1,ROOM,Suites,***,***,,,79,,52.666667,53,0,53,26,31,31,0,0,0,0,0,79,15538.12,196.685063,0,0,0,0,0,0,15538.12,196.685063,103.587467,111 / 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-03 00:00:00,History,05/03/2023 Wed,150,0,2,0,125,0,23,0,83.333333,90,0,1,0,90,35,0,44,0,44,0,0,0,0,0,0,0,0,0,0,125,0,30171.37,241.37096,0,0,0,0,0,0,0,0,0,0,30171.37,241.37096,201.142467,187 / 1,ROOM,Suites,***,***,,,125,,83.333333,90,1,90,35,44,44,0,0,0,0,0,125,30171.37,241.37096,0,0,0,0,0,0,30171.37,241.37096,201.142467,187 / 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-04 00:00:00,History,05/04/2023 Thu,150,0,2,0,129,0,19,0,86,105,0,13,0,104,24,0,101,0,101,2,0,0,0,2,0,4,0,0,0,129,0,179520.16,1391.629147,0,0,0,0,0,0,0,0,0,0,179520.16,1391.629147,1196.801067,237 / 6,ROOM,Suites,***,***,,,129,,86,105,13,104,24,101,101,2,0,2,4,0,129,179520.16,1391.629147,0,0,0,0,0,0,179520.16,1391.629147,1196.801067,237 / 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-05 00:00:00,History,05/05/2023 Fri,150,0,1,0,130,0,19,0,86.666667,17,0,0,0,17,113,0,16,0,16,2,0,0,0,2,0,1,0,0,0,130,0,184337.86,1417.983538,0,0,0,0,0,0,0,0,0,0,184337.86,1417.983538,1228.919067,238 / 6,ROOM,Suites,***,***,,,130,,86.666667,17,0,17,113,16,16,2,0,2,1,0,130,184337.86,1417.983538,0,0,0,0,0,0,184337.86,1417.983538,1228.919067,238 / 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-06 00:00:00,History,05/06/2023 Sat,150,0,0,0,121,0,29,0,80.666667,4,0,0,0,4,117,0,13,0,13,2,0,0,0,5,0,0,0,0,0,121,0,174115.93,1438.974628,0,0,0,0,0,0,0,0,0,0,174115.93,1438.974628,1160.772867,226 / 6,ROOM,Suites,***,***,,,121,,80.666667,4,0,4,117,13,13,2,0,5,0,0,121,174115.93,1438.974628,0,0,0,0,0,0,174115.93,1438.974628,1160.772867,226 / 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-07 00:00:00,History,05/07/2023 Sun,150,0,28,0,52,0,70,0,34.666667,38,0,0,0,38,14,0,107,0,106,2,0,0,0,4,0,0,0,0,0,52,0,13040.22,250.773462,0,0,0,0,0,0,0,0,0,0,13040.22,250.773462,86.9348,74 / 0,ROOM,Suites,***,***,,,52,,34.666667,38,0,38,14,107,106,2,0,4,0,0,52,13040.22,250.773462,0,0,0,0,0,0,13040.22,250.773462,86.9348,74 / 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-08 00:00:00,History,05/08/2023 Mon,150,0,8,0,61,0,81,0,40.666667,38,0,1,0,37,23,0,29,0,29,1,0,0,0,0,0,0,0,0,0,61,0,8988.68,147.35541,0,0,0,0,0,0,0,0,0,0,8988.68,147.35541,59.924533,78 / 2,ROOM,Suites,***,***,,,61,,40.666667,38,1,37,23,29,29,1,0,0,0,0,61,8988.68,147.35541,0,0,0,0,0,0,8988.68,147.35541,59.924533,78 / 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-09 00:00:00,History,05/09/2023 Tue,150,0,4,0,77,0,69,0,51.333333,37,0,0,0,37,40,0,21,0,21,1,0,0,0,0,0,0,0,0,0,77,0,8230.95,106.895455,0,0,0,0,0,0,0,0,0,0,8230.95,106.895455,54.873,92 / 3,ROOM,Suites,***,***,,,77,,51.333333,37,0,37,40,21,21,1,0,0,0,0,77,8230.95,106.895455,0,0,0,0,0,0,8230.95,106.895455,54.873,92 / 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-10 00:00:00,History,05/10/2023 Wed,150,0,4,0,118,0,28,0,78.666667,77,0,57,0,77,41,0,36,0,35,0,0,0,0,0,0,0,0,0,0,63,0,9012.07,143.04873,55,0,10945,199,0,0,0,0,0,0,19957.07,169.127712,133.047133,165 / 0,ROOM,Suites,***,***,,,118,,78.666667,77,57,77,41,36,35,0,0,0,0,0,63,9012.07,143.04873,55,10945,199,0,0,0,19957.07,169.127712,133.047133,165 / 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-11 00:00:00,History,05/11/2023 Thu,150,0,4,0,98,0,48,0,65.333333,18,0,0,0,18,80,0,38,0,38,0,0,0,0,2,0,0,0,0,0,43,0,6995.46,162.685116,55,0,10945,199,0,0,0,0,0,0,17940.46,183.065918,119.603067,149 / 0,ROOM,Suites,***,***,,,98,,65.333333,18,0,18,80,38,38,0,0,2,0,0,43,6995.46,162.685116,55,10945,199,0,0,0,17940.46,183.065918,119.603067,149 / 0,7050,0,237,0,5370,0,1443,0,76.170213,3179,0,307,0,3143,2191,0,3200,0,3163,35,0,0,0,86,0,13,0,0,0,4601,0,1401549.76,304.618509,769,0,133599,173.730819,0,0,0,0,0,0,1535148.76,285.875002,217.751597,"8,319 / 455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-05-12 00:00:00,Forecasted,05/12/2023 Fri,150,0,1,0,112,0,37,0,74.666667,43,0,3,0,43,69,0,29,0,29,0,0,0,0,0,0,1,0,0,0,29,0,11586.15,399.522414,83,0,17687,213.096386,0,0,0,0,0,0,29273.15,261.367411,195.154333,178 / 2,ROOM,Suites,***,***,,,112,,74.666667,43,3,43,69,29,29,0,0,0,1,0,29,11586.15,399.522414,83,17687,213.096386,0,0,0,29273.15,261.367411,195.154333,178 / 2,150,0,1,0,112,0,37,0,74.666667,43,0,3,0,43,69,0,29,0,29,0,0,0,0,0,0,1,0,0,0,29,0,11586.15,399.522414,83,0,17687,213.096386,0,0,0,0,0,0,29273.15,261.367411,195.154333,178 / 2,7200,0,238,0,5482,0,1480,0,76.138889,3222,0,310,0,3186,2260,0,3229,0,3192,35,0,0,0,86,0,14,0,0,0,4630,0,1413135.91,305.21294,852,0,151286,177.565728,0,0,0,0,0,0,1564421.91,285.3743,217.280821,"8,497 / 457","Include Contract Reservations,Show Group Columns,Include Group Reservations,Include Transient"
